1, 2.0, 24.7
2, 1.6, 52.6
3, 1.2, 26.1
4, 0.9, 56.3
5, 1.6, 18.9
6, 2.1, 59.8
7, 2.0, 35.1
8, 1.4, 41.8
9, 1.3, 25.7
10, 1.6, 55.4
11, 1.2, 38.2
12, 1.2, 18.9
13, 1.5, 55.6
14, 1.8, 17.5
15, 1.6, 37.4
16, 0.9, 25.5
17, 1.8, 11.7
18, 1.4, 39.3
19, 0.9, 34.7
20, 1.6, 28.2
21, 1.2, 26.9
22, 1.2, 52.7
23, 1.3, 59.7
24, 2.0, 20.2
25, 0.9, 57.8
26, 1.3, 40.9
27, 1.3, 51.2
28, 1.9, 27.5
29, 1.4, 39.9
30, 1.9, 43.5
31, 1.3, 39.8
32, 0.8, 58.4
33, 1.8, 32.5
34, 0.7, 48.7
35, 1.5, 36.4
36, 1.9, 55.8
37, 2.2, 23.9
38, 1.3, 24.8
39, 1.8, 11.7
40, 1.3, 36.9
41, 2.1, 49.9
42, 1.4, 37.3
43, 2.1, 40.4
44, 0.9, 18.8
45, 1.9, 19.3
46, 1.2, 35.3
47, 1.0, 12.5
48, 0.8, 58.3
49, 1.4, 10.9
50, 2.2, 58.2
51, 0.9, 16.3
52, 1.5, 49.3
53, 1.8, 54.6
54, 1.4, 59.3
55, 1.7, 37.2
56, 1.3, 21.5
57, 0.9, 40.4
58, 1.9, 35.0
59, 1.2, 21.9
60, 0.7, 34.8
61, 1.6, 23.9
62, 1.7, 29.2
63, 2.2, 10.2
64, 1.2, 42.7
65, 0.8, 11.6
66, 2.0, 45.2
67, 1.4, 25.1
68, 0.8, 51.1
69, 1.6, 47.2
70, 0.7, 29.2
71, 1.5, 29.1
72, 0.8, 53.4
73, 1.8, 46.8
74, 0.8, 50.6
75, 1.8, 28.8
76, 0.8, 34.3
77, 2.1, 46.3
78, 0.8, 52.6
79, 1.0, 37.3
80, 0.7, 32.5
81, 1.6, 25.5
82, 2.0, 11.4
83, 1.0, 45.3
84, 2.0, 36.3
85, 1.1, 49.8
86, 0.8, 38.5
87, 1.9, 26.2
88, 1.5, 13.9
